,country_id,country,month_id,year,month,main_mean
324,148,Laos,537,2024,9,0.02
325,149,Myanmar,537,2024,9,445.1444
326,150,Thailand,537,2024,9,2.4105
327,151,Vietnam,537,2024,9,0.018
328,152,Marshall Is.,537,2024,9,0.0023
329,153,Micronesia,537,2024,9,0.0024
330,154,Botswana,537,2024,9,0.0143
331,155,Burundi,537,2024,9,3.1927
332,156,Rwanda,537,2024,9,0.0401
333,157,Zambia,537,2024,9,0.0236
334,158,Zimbabwe,537,2024,9,0.0346
335,159,Comoros,537,2024,9,0.1459
336,160,Lesotho,537,2024,9,0.0063
337,161,Malawi,537,2024,9,0.0263
338,162,Mozambique,537,2024,9,11.3095
339,163,South Africa,537,2024,9,0.3888
340,164,Swaziland,537,2024,9,0.2098
341,165,Angola,537,2024,9,0.9003
342,166,Congo,537,2024,9,0.0254
343,167,"Congo, DRC",537,2024,9,172.7313
344,168,Fiji,537,2024,9,0.0073
345,169,Gabon,537,2024,9,0.0203
346,170,Namibia,537,2024,9,0.0073
347,171,New Zealand,537,2024,9,0.0154
348,172,Madagascar,537,2024,9,0.114
349,173,Mauritius,537,2024,9,0.0095
350,174,Seychelles,537,2024,9,0.0053
351,176,Timor Leste,537,2024,9,0.0041
352,177,Australia,537,2024,9,0.0862
353,178,Nauru,537,2024,9,0.0065
354,179,Papua New Guinea,537,2024,9,0.0617
355,180,Solomon Is.,537,2024,9,0.0081
356,181,Tuvalu,537,2024,9,0.0057
357,182,Vanuatu,537,2024,9,0.0103
358,183,Canada,537,2024,9,0.0068
359,184,Germany,537,2024,9,0.0047
360,198,Taiwan,537,2024,9,0.1577
361,199,China,537,2024,9,0.0721
362,205,Malaysia,537,2024,9,0.0316
363,206,Singapore,537,2024,9,0.0112
364,209,Indonesia,537,2024,9,4.0389
365,213,Libya,537,2024,9,0.4078
366,214,Chad,537,2024,9,3.6956
367,218,Israel,537,2024,9,7007.2017
368,220,Syria,537,2024,9,245.1426
369,222,Egypt,537,2024,9,0.438
370,223,India,537,2024,9,49.9539
371,231,Montenegro,537,2024,9,0.0046
372,232,Kosovo,537,2024,9,0.0064
373,233,Serbia,537,2024,9,0.002
374,234,United States,537,2024,9,0.2896
375,235,Uganda,537,2024,9,0.876
