,country_id,country,year,main_mean,actuals_last_12months
74,198,Taiwan,2026,0.4716,0.0
75,119,Oman,2026,0.45940000000000003,0.0
76,16,Guatemala,2026,0.4551,0.0
77,173,Mauritius,2026,0.4548,0.0
78,1,Guyana,2026,0.4496,0.0
79,143,North Korea,2026,0.4411,0.0
80,93,Greece,2026,0.437,0.0
81,169,Gabon,2026,0.4355,0.0
82,97,Austria,2026,0.434,0.0
83,100,Hungary,2026,0.43320000000000003,0.0
84,110,Belarus,2026,0.4311,0.0
85,112,Finland,2026,0.4301,0.0
86,132,United Arab Emirates,2026,0.4252,0.0
87,99,Denmark,2026,0.4245,0.0
88,73,Tunisia,2026,0.42419999999999997,0.0
89,108,Netherlands,2026,0.4233,0.0
90,109,Switzerland,2026,0.423,0.0
91,118,Maldives,2026,0.4181,0.0
92,146,South Korea,2026,0.417,0.0
93,107,Luxembourg,2026,0.4166,0.0
94,134,Kyrgyzstan,2026,0.4147,0.0
95,142,Japan,2026,0.4142,0.0
96,159,Comoros,2026,0.41300000000000003,0.0
97,183,Canada,2026,0.4129,0.0
98,171,New Zealand,2026,0.4119,0.0
99,206,Singapore,2026,0.4118,0.0
100,166,Congo,2026,0.4073,0.0
101,154,Botswana,2026,0.4031,0.0
102,181,Tuvalu,2026,0.4028,0.0
103,180,Solomon Is.,2026,0.402,0.0
104,63,Kazakhstan,2026,0.40190000000000003,0.0
105,182,Vanuatu,2026,0.4011,0.0
106,178,Nauru,2026,0.4008,0.0
107,174,Seychelles,2026,0.4005,0.0
108,168,Fiji,2026,0.4,0.0
109,48,Guinea,2026,0.3973,0.0
110,139,Bhutan,2026,0.3906,0.0
111,158,Zimbabwe,2026,0.3492,0.0
112,52,Senegal,2026,0.3455,0.0
113,148,Laos,2026,0.33940000000000003,0.0
114,205,Malaysia,2026,0.3263,0.0
115,123,Uzbekistan,2026,0.3224,0.0
116,122,Turkmenistan,2026,0.3199,0.0
117,127,Bahrain,2026,0.2984,0.0
118,92,Georgia,2026,0.2912,0.0
119,105,France,2026,0.2748,0.0
120,104,Belgium,2026,0.2701,0.0
121,160,Lesotho,2026,0.26739999999999997,0.0
122,129,Kuwait,2026,0.2333,0.0
123,135,Nepal,2026,0.21660000000000001,0.0
124,116,Romania,2026,0.1964,0.0
