,country_id,country,year,main_mean
69,19,Dominica,2026,0.9417
5,2,Suriname,2026,0.9413
269,77,Kiribati,2026,0.9405
153,40,Cape Verde,2026,0.9405
21,6,Tonga,2026,0.9398
17,5,Samoa,2026,0.9398
81,22,St. Vincent and the Grenadines,2026,0.9392
77,21,St. Lucia,2026,0.9392
141,37,Iceland,2026,0.9384
73,20,Grenada,2026,0.9377
97,26,Bahamas,2026,0.937
65,18,Barbados,2026,0.9369000000000001
225,62,Jordan,2026,0.8533
29,8,Bolivia,2026,0.8255
597,164,Swaziland,2026,0.8246
629,172,Madagascar,2026,0.8243
217,58,Mongolia,2026,0.8222
157,41,Cote d'Ivoire,2026,0.8079
25,7,Argentina,2026,0.7381
353,101,Poland,2026,0.6884
9,3,Trinidad and Tobago,2026,0.6778
681,199,China,2026,0.6592
125,33,Nicaragua,2026,0.6214
569,157,Zambia,2026,0.6094999999999999
45,12,Paraguay,2026,0.6059
185,49,Guinea-Bissau,2026,0.5979
289,82,Albania,2026,0.5871
209,56,Eritrea,2026,0.5581
645,177,Australia,2026,0.5481
129,34,Panama,2026,0.5358
121,32,Honduras,2026,0.5274
205,55,Djibouti,2026,0.5246
585,161,Malawi,2026,0.5228999999999999
545,151,Vietnam,2026,0.4939
241,66,Sweden,2026,0.4851
201,54,The Gambia,2026,0.4774
677,198,Taiwan,2026,0.4716
421,119,Oman,2026,0.45940000000000003
57,16,Guatemala,2026,0.4551
633,173,Mauritius,2026,0.4548
1,1,Guyana,2026,0.4496
513,143,North Korea,2026,0.4411
325,93,Greece,2026,0.437
617,169,Gabon,2026,0.4355
337,97,Austria,2026,0.434
349,100,Hungary,2026,0.43320000000000003
385,110,Belarus,2026,0.4311
393,112,Finland,2026,0.4301
473,132,United Arab Emirates,2026,0.4252
345,99,Denmark,2026,0.4245
257,73,Tunisia,2026,0.42419999999999997
377,108,Netherlands,2026,0.4233
381,109,Switzerland,2026,0.423
417,118,Maldives,2026,0.4181
525,146,South Korea,2026,0.417
373,107,Luxembourg,2026,0.4166
481,134,Kyrgyzstan,2026,0.4147
509,142,Japan,2026,0.4142
577,159,Comoros,2026,0.41300000000000003
669,183,Canada,2026,0.4129
625,171,New Zealand,2026,0.4119
689,206,Singapore,2026,0.4118
605,166,Congo,2026,0.4073
557,154,Botswana,2026,0.4031
661,181,Tuvalu,2026,0.4028
657,180,Solomon Is.,2026,0.402
229,63,Kazakhstan,2026,0.40190000000000003
665,182,Vanuatu,2026,0.4011
649,178,Nauru,2026,0.4008
637,174,Seychelles,2026,0.4005
613,168,Fiji,2026,0.4
181,48,Guinea,2026,0.3973
501,139,Bhutan,2026,0.3906
573,158,Zimbabwe,2026,0.3492
193,52,Senegal,2026,0.3455
533,148,Laos,2026,0.33940000000000003
685,205,Malaysia,2026,0.3263
437,123,Uzbekistan,2026,0.3224
433,122,Turkmenistan,2026,0.3199
453,127,Bahrain,2026,0.2984
321,92,Georgia,2026,0.2912
369,105,France,2026,0.2748
365,104,Belgium,2026,0.2701
581,160,Lesotho,2026,0.26739999999999997
461,129,Kuwait,2026,0.2333
485,135,Nepal,2026,0.21660000000000001
409,116,Romania,2026,0.1964
593,163,South Africa,2026,0.1887
305,86,Macedonia,2026,0.1855
