,country_id,country,year,main_mean,actuals_last_12months
97,154,Botswana,2026,0.1228,0.0
98,77,Kiribati,2026,0.12029999999999999,0.0
99,19,Dominica,2026,0.116,0.0
100,26,Bahamas,2026,0.1151,0.0
101,64,Norway,2026,0.1147,0.0
102,102,Slovakia,2026,0.11449999999999999,0.0
103,53,Sierra Leone,2026,0.1066,0.0
104,173,Mauritius,2026,0.1028,0.0
105,93,Greece,2026,0.1027,0.0
106,97,Austria,2026,0.0985,0.0
107,80,Sao Tome and Principe,2026,0.0979,0.0
108,20,Grenada,2026,0.0861,0.0
109,34,Panama,2026,0.0836,0.0
110,36,St. Kitts and Nevis,2026,0.0824,0.0
111,178,Nauru,2026,0.082,0.0
112,43,Liberia,2026,0.0808,0.0
113,14,Uruguay,2026,0.0801,0.0
114,54,The Gambia,2026,0.0785,0.0
115,10,Chile,2026,0.0785,0.0
116,38,Ireland,2026,0.0784,0.0
117,181,Tuvalu,2026,0.0773,0.0
118,198,Taiwan,2026,0.077,0.0
119,5,Samoa,2026,0.0758,0.0
120,144,Palau,2026,0.074,0.0
121,21,St. Lucia,2026,0.0711,0.0
122,231,Montenegro,2026,0.0695,0.0
123,22,St. Vincent and the Grenadines,2026,0.0691,0.0
124,86,Macedonia,2026,0.067,0.0
125,6,Tonga,2026,0.0658,0.0
126,153,Micronesia,2026,0.0638,0.0
127,152,Marshall Is.,2026,0.0628,0.0
128,233,Serbia,2026,0.062,0.0
129,118,Maldives,2026,0.0578,0.0
130,140,Brunei,2026,0.0563,0.0
131,168,Fiji,2026,0.0527,0.0
132,82,Albania,2026,0.0521,0.0
133,18,Barbados,2026,0.0512,0.0
134,40,Cape Verde,2026,0.05,0.0
135,182,Vanuatu,2026,0.0454,0.0
136,176,Timor Leste,2026,0.0434,0.0
137,206,Singapore,2026,0.042499999999999996,0.0
138,98,Czech Republic,2026,0.0407,0.0
139,37,Iceland,2026,0.0405,0.0
140,146,South Korea,2026,0.0392,0.0
141,45,Portugal,2026,0.0387,0.0
142,87,Malta,2026,0.0382,0.0
143,114,Lithuania,2026,0.0351,0.0
144,85,Italy,2026,0.035,0.0
145,174,Seychelles,2026,0.0343,0.0
146,142,Japan,2026,0.0316,0.0
147,109,Switzerland,2026,0.0294,0.0
148,103,Slovenia,2026,0.0282,0.0
149,108,Netherlands,2026,0.0265,0.0
150,107,Luxembourg,2026,0.0247,0.0
