,country_id,country,year,main_mean,actuals_last_12months
71,159,Comoros,2026,0.2442,0.0
72,169,Gabon,2026,0.23270000000000002,0.0
73,92,Georgia,2026,0.23170000000000002,0.0
74,30,Cuba,2026,0.2262,0.0
75,27,Belize,2026,0.2195,0.0
76,63,Kazakhstan,2026,0.2172,0.0
77,135,Nepal,2026,0.2153,0.0
78,116,Romania,2026,0.2095,0.0
79,2,Suriname,2026,0.1977,0.0
80,105,France,2026,0.158,0.0
81,49,Guinea-Bissau,2026,0.1511,0.0
82,178,Nauru,2026,0.147,0.0
83,184,Germany,2026,0.1456,0.0
84,97,Austria,2026,0.1421,0.0
85,182,Vanuatu,2026,0.1364,0.0
86,29,Costa Rica,2026,0.1344,0.0
87,39,United Kingdom,2026,0.12359999999999999,0.0
88,198,Taiwan,2026,0.1189,0.0
89,19,Dominica,2026,0.118,0.0
90,183,Canada,2026,0.11599999999999999,0.0
91,14,Uruguay,2026,0.10550000000000001,0.0
92,112,Finland,2026,0.1055,0.0
93,82,Albania,2026,0.0965,0.0
94,121,Sri Lanka,2026,0.096,0.0
95,26,Bahamas,2026,0.0959,0.0
96,64,Norway,2026,0.09559999999999999,0.0
97,93,Greece,2026,0.0949,0.0
98,54,The Gambia,2026,0.0939,0.0
99,10,Chile,2026,0.0935,0.0
100,104,Belgium,2026,0.0871,0.0
101,233,Serbia,2026,0.0858,0.0
102,46,Spain,2026,0.08499999999999999,0.0
103,168,Fiji,2026,0.0839,0.0
104,34,Panama,2026,0.0809,0.0
105,170,Namibia,2026,0.08070000000000001,0.0
106,77,Kiribati,2026,0.07970000000000001,0.0
107,160,Lesotho,2026,0.0778,0.0
108,86,Macedonia,2026,0.0762,0.0
109,20,Grenada,2026,0.0748,0.0
110,35,Antigua and Barbuda,2026,0.0733,0.0
111,154,Botswana,2026,0.0713,0.0
112,181,Tuvalu,2026,0.0698,0.0
113,36,St. Kitts and Nevis,2026,0.0692,0.0
114,84,Croatia,2026,0.0688,0.0
115,173,Mauritius,2026,0.0639,0.0
116,231,Montenegro,2026,0.0637,0.0
117,66,Sweden,2026,0.0634,0.0
118,144,Palau,2026,0.0607,0.0
119,21,St. Lucia,2026,0.0605,0.0
120,140,Brunei,2026,0.060200000000000004,0.0
121,22,St. Vincent and the Grenadines,2026,0.058499999999999996,0.0
122,6,Tonga,2026,0.0579,0.0
123,115,Moldova,2026,0.057,0.0
124,102,Slovakia,2026,0.056999999999999995,0.0
125,43,Liberia,2026,0.055,0.0
126,146,South Korea,2026,0.0542,0.0
127,87,Malta,2026,0.0524,0.0
128,5,Samoa,2026,0.052199999999999996,0.0
129,153,Micronesia,2026,0.0516,0.0
130,180,Solomon Is.,2026,0.0508,0.0
131,152,Marshall Is.,2026,0.0481,0.0
132,53,Sierra Leone,2026,0.0429,0.0
133,142,Japan,2026,0.0424,0.0
134,83,Bosnia and Herzegovina,2026,0.0412,0.0
135,38,Ireland,2026,0.0406,0.0
136,118,Maldives,2026,0.0393,0.0
137,85,Italy,2026,0.038400000000000004,0.0
138,176,Timor Leste,2026,0.036899999999999995,0.0
139,40,Cape Verde,2026,0.0341,0.0
140,111,Estonia,2026,0.033100000000000004,0.0
141,113,Latvia,2026,0.0319,0.0
